feature,importance,clean_feature
num__CRS_DEP_TIME_MIN,0.038877275094222306,Scheduled Departure Time
num__CRS_ARR_TIME_MIN,0.03764588813126783,Scheduled Arrival Time
num__dep_hour,0.026592980315094876,Departure Hour
num__arr_hour,0.025166448692559355,Arrival Hour
num__CRS_ELAPSED_TIME,0.02329322632772612,Scheduled Elapsed Time
num__SCHED_BLOCK_MINS,0.023120330952341714,Scheduled Block Time
num__DISTANCE,0.021270205368817584,Distance
num__day,0.020137989841124932,Day
num__year,0.02003825719815558,Year
num__month,0.01693568821159613,Month
num__day_of_week,0.01402347514162331,Day of Week
cat__dep_time_bucket_Early Morning,0.012740185981066751,Departure Time: Early Morning
cat__AIRLINE_Southwest Airlines Co.,0.009828416750478994,Airline: Southwest
cat__AIRLINE_CODE_WN,0.009820454840384013,Airline Code: WN
cat__dep_time_bucket_Evening,0.007840096138552171,Departure Time: Evening
cat__season_Summer,0.007698300486638405,Season: Summer
cat__season_Fall,0.005992175442395402,Season: Fall
cat__season_Winter,0.004829902431420189,Season: Winter
num__is_weekend,0.004783075104619087,Weekend Flag
cat__season_Spring,0.004371762770689511,Season: Spring
cat__dep_time_bucket_Afternoon,0.004189994951114923,dep time bucket Afternoon
cat__dep_time_bucket_Morning,0.003968030126146502,dep time bucket Morning
cat__dep_time_bucket_Night,0.0037798925020915814,dep time bucket Night
cat__AIRLINE_SkyWest Airlines Inc.,0.003472068084462212,AIRLINE SkyWest Airlines Inc.
cat__AIRLINE_CODE_OO,0.0034468698480753968,AIRLINE CODE OO
cat__AIRLINE_CODE_B6,0.003099976883745758,AIRLINE CODE B6
cat__AIRLINE_CODE_DL,0.0030195484569640295,AIRLINE CODE DL
cat__AIRLINE_JetBlue Airways,0.003005510489026128,AIRLINE JetBlue Airways
cat__DEST_STATE_TX,0.0028263383642482143,DEST STATE TX
cat__AIRLINE_Delta Air Lines Inc.,0.00279191533145954,AIRLINE Delta Air Lines Inc.
cat__DEST_STATE_CA,0.0027910146036091705,DEST STATE CA
cat__ORIGIN_STATE_CA,0.0027635033431113163,ORIGIN STATE CA
cat__ORIGIN_STATE_TX,0.0027448852994623046,ORIGIN STATE TX
cat__ORIGIN_STATE_FL,0.002634372537020843,ORIGIN STATE FL
cat__DEST_STATE_FL,0.0025641851252314668,DEST STATE FL
cat__AIRLINE_American Airlines Inc.,0.002428705904925992,AIRLINE American Airlines Inc.
cat__DEST_STATE_NY,0.002387895136003111,DEST STATE NY
cat__AIRLINE_CODE_AA,0.002384283742099317,AIRLINE CODE AA
cat__ORIGIN_STATE_NY,0.002378646885442222,ORIGIN STATE NY
cat__ORIGIN_STATE_IL,0.0022478503850874103,ORIGIN STATE IL
cat__DEST_STATE_IL,0.002227012631795053,DEST STATE IL
cat__ORIGIN_DFW,0.002158800786553372,ORIGIN DFW
cat__AIRLINE_United Air Lines Inc.,0.0021158668721120177,AIRLINE United Air Lines Inc.
cat__AIRLINE_CODE_UA,0.002049239555667038,AIRLINE CODE UA
cat__DEST_DFW,0.0020233837813067933,DEST DFW
cat__ORIGIN_STATE_CO,0.002020426544067447,ORIGIN STATE CO
cat__ORIGIN_STATE_GA,0.002003136287028108,ORIGIN STATE GA
cat__ORIGIN_DEN,0.001983743991436525,ORIGIN DEN
cat__DEST_ORD,0.0019477846474953457,DEST ORD
cat__ORIGIN_ATL,0.0019366575091637331,ORIGIN ATL
cat__ORIGIN_ORD,0.001932769085545387,ORIGIN ORD
cat__AIRLINE_CODE_F9,0.0019115128751173963,AIRLINE CODE F9
cat__DEST_STATE_NC,0.0019077900072670645,DEST STATE NC
cat__DEST_STATE_CO,0.001889299529414992,DEST STATE CO
cat__DEST_DEN,0.0018539716585407556,DEST DEN
cat__DEST_STATE_GA,0.0018434376111832128,DEST STATE GA
cat__AIRLINE_Republic Airline,0.0018390035241718375,AIRLINE Republic Airline
cat__ORIGIN_STATE_NC,0.0018256592297261629,ORIGIN STATE NC
cat__DEST_ATL,0.00182299444558201,DEST ATL
cat__AIRLINE_CODE_YX,0.0018180921958865339,AIRLINE CODE YX
cat__DEST_SFO,0.001813253937469788,DEST SFO
cat__AIRLINE_CODE_9E,0.001803283282840841,AIRLINE CODE 9E
cat__AIRLINE_Frontier Airlines Inc.,0.001758533259484535,AIRLINE Frontier Airlines Inc.
cat__DEST_STATE_AZ,0.0017306888580804834,DEST STATE AZ
cat__AIRLINE_Mesa Airlines Inc.,0.001691962151267633,AIRLINE Mesa Airlines Inc.
cat__AIRLINE_CODE_YV,0.0016519323267745727,AIRLINE CODE YV
cat__ORIGIN_STATE_MI,0.0016410616258622024,ORIGIN STATE MI
cat__DEST_LAX,0.0016410100654450405,DEST LAX
cat__DEST_STATE_PA,0.001638317625444956,DEST STATE PA
cat__ORIGIN_STATE_AZ,0.0016295956692371828,ORIGIN STATE AZ
cat__AIRLINE_Endeavor Air Inc.,0.0016106230966021972,AIRLINE Endeavor Air Inc.
cat__DEST_STATE_DC,0.0016025353547215468,DEST STATE DC
cat__ORIGIN_LAX,0.0015911494023039682,ORIGIN LAX
cat__AIRLINE_Spirit Air Lines,0.0015868707140405986,AIRLINE Spirit Air Lines
cat__ORIGIN_STATE_WA,0.0015730806954523024,ORIGIN STATE WA
cat__DEST_STATE_WA,0.0015706606157067607,DEST STATE WA
cat__DEST_STATE_NV,0.001570044644487478,DEST STATE NV
cat__ORIGIN_STATE_PA,0.0015628505507242405,ORIGIN STATE PA
cat__ORIGIN_STATE_DC,0.0015534085955439267,ORIGIN STATE DC
cat__DEST_LGA,0.0015346635275611713,DEST LGA
cat__DEST_PHX,0.0015311204615868223,DEST PHX
cat__ORIGIN_PHX,0.0015164847682543744,ORIGIN PHX
cat__ORIGIN_STATE_NV,0.0015103355364256622,ORIGIN STATE NV
cat__DEST_STATE_MI,0.0015062823704733172,DEST STATE MI
cat__AIRLINE_CODE_NK,0.0015034828541531558,AIRLINE CODE NK
cat__ORIGIN_LGA,0.001500603053415794,ORIGIN LGA
cat__ORIGIN_STATE_OH,0.0014914665454498564,ORIGIN STATE OH
cat__DEST_STATE_OH,0.0014901832998513171,DEST STATE OH
cat__ORIGIN_STATE_NJ,0.0014754698838696273,ORIGIN STATE NJ
cat__ORIGIN_DTW,0.0014696453050940606,ORIGIN DTW
cat__DEST_STATE_NJ,0.0014681301762707274,DEST STATE NJ
cat__AIRLINE_CODE_AS,0.0014632385771796666,AIRLINE CODE AS
cat__AIRLINE_Envoy Air,0.0014601857103797129,AIRLINE Envoy Air
cat__ORIGIN_EWR,0.0014567901867275225,ORIGIN EWR
cat__ORIGIN_MCO,0.0014521690629560758,ORIGIN MCO
cat__ORIGIN_IAH,0.001448141837584841,ORIGIN IAH
cat__DEST_MCO,0.0014421581697103769,DEST MCO
cat__ORIGIN_LAS,0.0014408787417418104,ORIGIN LAS
cat__ORIGIN_STATE_MA,0.0014373050683276806,ORIGIN STATE MA
cat__DEST_STATE_TN,0.0014278203480605131,DEST STATE TN
cat__AIRLINE_CODE_MQ,0.0014174189790463949,AIRLINE CODE MQ
cat__ORIGIN_SEA,0.0014167256262704667,ORIGIN SEA
cat__DEST_LAS,0.0014121985986974292,DEST LAS
cat__AIRLINE_Alaska Airlines Inc.,0.0014048231239698753,AIRLINE Alaska Airlines Inc.
cat__DEST_EWR,0.0013977721672954594,DEST EWR
cat__ORIGIN_CLT,0.001397219039596811,ORIGIN CLT
cat__DEST_STATE_MA,0.0013936754400813542,DEST STATE MA
cat__DEST_SEA,0.0013919168049082366,DEST SEA
cat__DEST_STATE_MO,0.001382270756043913,DEST STATE MO
cat__DEST_IAH,0.0013819958247563429,DEST IAH
cat__ORIGIN_STATE_TN,0.0013816599249338092,ORIGIN STATE TN
cat__DEST_BOS,0.0013795576422307423,DEST BOS
cat__ORIGIN_MSP,0.001362307184991128,ORIGIN MSP
cat__ORIGIN_BOS,0.0013568035590050375,ORIGIN BOS
cat__DEST_CLT,0.0013536929066786762,DEST CLT
cat__ORIGIN_STATE_MN,0.001339858510199263,ORIGIN STATE MN
cat__DEST_STATE_UT,0.0013352572415163758,DEST STATE UT
cat__ORIGIN_SFO,0.0013281594002784044,ORIGIN SFO
cat__ORIGIN_STATE_MO,0.0013118841814297828,ORIGIN STATE MO
cat__DEST_DTW,0.001301682843912234,DEST DTW
cat__DEST_MSP,0.001299068059095235,DEST MSP
cat__DEST_DCA,0.001293908677379396,DEST DCA
cat__ORIGIN_STATE_UT,0.0012899949923765315,ORIGIN STATE UT
cat__ORIGIN_DCA,0.0012806905905525144,ORIGIN DCA
cat__FL_DATE_2023-01-11,0.0012729024834702187,FL DATE 2023-01-11
cat__DEST_STATE_MN,0.0012651369932737224,DEST STATE MN
cat__AIRLINE_PSA Airlines Inc.,0.0012622515040603898,AIRLINE PSA Airlines Inc.
cat__ORIGIN_BWI,0.0012238715675147308,ORIGIN BWI
cat__ORIGIN_JFK,0.0012209651623962688,ORIGIN JFK
cat__DEST_SLC,0.0012206351461529618,DEST SLC
cat__DEST_JFK,0.001216113132026366,DEST JFK
cat__ORIGIN_MIA,0.0011993645801332926,ORIGIN MIA
cat__ORIGIN_PHL,0.001199082741903925,ORIGIN PHL
cat__ORIGIN_STATE_MD,0.0011869442744212705,ORIGIN STATE MD
cat__ORIGIN_MDW,0.001179811086684899,ORIGIN MDW
cat__ORIGIN_STATE_HI,0.0011770312541781673,ORIGIN STATE HI
cat__ORIGIN_SLC,0.0011761998876122154,ORIGIN SLC
cat__DEST_PHL,0.0011699074304214578,DEST PHL
cat__ORIGIN_FLL,0.0011594245221411051,ORIGIN FLL
cat__DEST_BNA,0.0011491235715590613,DEST BNA
cat__AIRLINE_CODE_OH,0.0011300300880097832,AIRLINE CODE OH
cat__DEST_MIA,0.0011247677479098862,DEST MIA
cat__ORIGIN_STATE_LA,0.0011027392408199928,ORIGIN STATE LA
cat__DEST_FLL,0.001088780586606355,DEST FLL
cat__ORIGIN_AUS,0.0010694635365087418,ORIGIN AUS
cat__DEST_TPA,0.001069148101721162,DEST TPA
cat__DEST_RDU,0.0010641049607481464,DEST RDU
cat__ORIGIN_BNA,0.0010614213082122683,ORIGIN BNA
cat__AIRLINE_CODE_G4,0.0010554989732643892,AIRLINE CODE G4
cat__DEST_STATE_OR,0.0010486908617984136,DEST STATE OR
cat__AIRLINE_Allegiant Air,0.0010472766361891077,AIRLINE Allegiant Air
